BAC US Equity,,,,,,,,,,,,,,,,,,,,,,,
PX_OPEN,23.12,23.33,23.1,23.24,22.96,22.76,22.97,22.66,22.7,23.02,23.16,23.36,23.22,22.8,22.86,23.11,22.99,22.61,22.34,22.59,22.4,22.66,22.87
PX_CLOSE_1D,23.33,23.431,23.24,23.32,23.005,23.02,22.89,22.635,22.5,23.01,23.28,23.34,23.18,22.995,22.781,22.961,22.93,22.65,22.255,22.3745,22.455,22.55,22.825
,,,,,,,,,,,,,,,,,,,,,,,
RAD US Equity,,,,,,,,,,,,,,,,,,,,,,,
Date,9/30/2013,10/1/2013,10/2/2013,10/3/2013,10/4/2013,10/7/2013,10/8/2013,10/9/2013,10/10/2013,10/11/2013,10/14/2013,10/15/2013,10/16/2013,10/17/2013,10/18/2013,10/21/2013,10/22/2013,10/23/2013,10/24/2013,10/25/2013,10/28/2013,10/29/2013,10/30/2013
PX_OPEN,4.53,4.81,4.95,5.18,5.15,5.22,5.24,5.02,4.98,5.02,4.92,5.13,5.15,5.18,5.43,5.37,5.27,5.08,5.16,5.21,5.13,5.06,5.2
PX_CLOSE_1D,4.7,4.76,4.94,5.01,5.08,5.19,5.2,5,4.83,5,4.99,5.07,5.11,5.14,5.35,5.3,5.25,5.16,5.12,5.22,5.12,5.03,5.18
,,,,,,,,,,,,,,,,,,,,,,,
AMD US Equity,,,,,,,,,,,,,,,,,,,,,,,
Date,9/30/2013,10/1/2013,10/2/2013,10/3/2013,10/4/2013,10/7/2013,10/8/2013,10/9/2013,10/10/2013,10/11/2013,10/14/2013,10/15/2013,10/16/2013,10/17/2013,10/18/2013,10/21/2013,10/22/2013,10/23/2013,10/24/2013,10/25/2013,10/28/2013,10/29/2013,10/30/2013
PX_OPEN,3.79,3.82,3.83,3.93,3.91,3.87,3.87,3.75,3.72,3.78,3.87,4.03,4.1,4.12,3.56,3.56,3.32,3.2,3.205,3.29,3.38,3.34,3.35
PX_CLOSE_1D,3.86,3.81,3.86,3.9,3.9,3.91,3.86,3.72,3.65,3.79,3.83,3.97,4.02,4.09,4.09,3.53,3.37,3.18,3.14,3.23,3.34,3.32,3.33
,,,,,,,,,,,,,,,,,,,,,,,
F US Equity,,,,,,,,,,,,,,,,,,,,,,,
Date,9/30/2013,10/1/2013,10/2/2013,10/3/2013,10/4/2013,10/7/2013,10/8/2013,10/9/2013,10/10/2013,10/11/2013,10/14/2013,10/15/2013,10/16/2013,10/17/2013,10/18/2013,10/21/2013,10/22/2013,10/23/2013,10/24/2013,10/25/2013,10/28/2013,10/29/2013,10/30/2013
PX_OPEN,16.77,16.93,17.09,17.11,16.97,16.86,16.83,16.51,16.87,17.02,16.93,17.18,17.08,17.24,17.52,17.59,17.55,17.66,18.01,17.84,17.66,17.57,17.62
PX_CLOSE_1D,17.05,16.87,17.19,17.21,16.95,17.09,16.81,16.5,16.62,16.93,17.11,17.18,16.97,17.29,17.46,17.53,17.5,17.6,17.52,17.76,17.6,17.57,17.61
